,Date,R,Casa v Visitante,-
13,03/25 11:14,-,Real Madrid (slezaintima) EsportsvPSG (orlovsky1) Esports,0-0
14,03/25 11:10,-,Tottenham (Inquisitor) EsportsvLiverpool (mooneycb) Esports,1-1
15,03/25 11:06,-,Bayern (dm1trena) EsportsvTottenham (DangerDim77) Esports,1-0
16,03/25 11:00,-,Tottenham (Inquisitor) EsportsvMan City (Olle) Esports,0-1
17,03/25 11:00,-,Arsenal (Chellovekk) EsportsvLiverpool (mooneycb) Esports,2-0
18,03/25 10:55,-,Real Madrid (slezaintima) EsportsvBayern (dm1trena) Esports,1-1
19,03/25 10:54,-,Napoli (nikkitta) EsportsvPSG (orlovsky1) Esports,0-0
20,03/25 10:42,-,Bayern (dm1trena) EsportsvNapoli (nikkitta) Esports,0-0
21,03/25 10:41,-,Real Madrid (slezaintima) EsportsvTottenham (DangerDim77) Esports,2-2
22,03/25 10:40,-,PSG (orlovsky1) EsportsvReal Madrid (slezaintima) Esports,0-0
23,03/25 10:30,-,Napoli (nikkitta) EsportsvTottenham (DangerDim77) Esports,0-0
24,03/25 10:30,-,PSG (orlovsky1) EsportsvBayern (dm1trena) Esports,0-0
25,03/25 10:18,-,Leipzig (Hrusch) EsportsvBayern (LaikingDast) Esports,3-1
26,03/25 10:18,-,Leverkusen (vrico) EsportsvDortmund (KravaRK) Esports,3-0
27,03/25 10:07,-,Bayern (LaikingDast) EsportsvM'Gladbach (Arcos) Esports,2-3
28,03/25 10:06,-,Dortmund (KravaRK) EsportsvLeipzig (Hrusch) Esports,0-2
29,03/25 09:54,-,Leipzig (Hrusch) EsportsvLeverkusen (vrico) Esports,1-1
0,03/25 13:36,-,Belgium (Chellovek) EsportsvGermany (Pablik) Esports,2-4
1,03/25 13:33,-,Brazil (mooneycb) EsportsvSpain (Olle) Esports,1-1
2,03/25 13:30,-,Portugal (DangerDim77) EsportsvSpain (nikkitta) Esports,0-0
3,03/25 13:24,-,Germany (Pablik) EsportsvBrazil (mooneycb) Esports,0-2
4,03/25 13:21,-,Portugal (Inquisitor) EsportsvBelgium (Chellovek) Esports,1-0
5,03/25 13:18,-,England (slezaintima) EsportsvSpain (nikkitta) Esports,2-1
6,03/25 13:18,-,Portugal (DangerDim77) EsportsvNetherlands (orlovsky1) Esports,4-1
7,03/25 13:12,-,Brazil (mooneycb) EsportsvPortugal (Inquisitor) Esports,2-0
8,03/25 13:09,-,Spain (Olle) EsportsvGermany (Pablik) Esports,0-2
9,03/25 13:06,-,Netherlands (orlovsky1) EsportsvEngland (slezaintima) Esports,1-3
10,03/25 13:06,-,Italy (dm1trena) EsportsvPortugal (DangerDim77) Esports,1-0
11,03/25 12:56,-,Belgium (Chellovek) EsportsvBrazil (mooneycb) Esports,2-3
12,03/25 12:54,-,Spain (Olle) EsportsvPortugal (Inquisitor) Esports,1-0
13,03/25 12:54,-,Spain (nikkitta) EsportsvNetherlands (orlovsky1) Esports,2-1
14,03/25 12:48,-,Tottenham (Inquisitor) EsportsvMan United (Pablik) Esports,0-0
15,03/25 12:48,-,Arsenal (Chellovekk) EsportsvMan City (Olle) Esports,0-1
16,03/25 12:42,-,Italy (dm1trena) EsportsvSpain (nikkitta) Esports,2-0
17,03/25 12:42,-,Portugal (DangerDim77) EsportsvEngland (slezaintima) Esports,0-1
